Algorithm,Board_n,Board size,Execution Time (s),Number of conflicts,Number of iterations
Simulated Annealing,19,12,0.32232666015625,4,5000
Genetic Algorithm,19,12,5.332191705703735,1,5000
Hill Climbing,20,12,0.32816505432128906,3,5000
Simulated Annealing,20,12,0.32372450828552246,4,5000
Genetic Algorithm,20,12,0.08266186714172363,0,73
Hill Climbing,21,12,0.3211658000946045,4,5000
Simulated Annealing,21,12,0.3299069404602051,2,5000
Genetic Algorithm,21,12,0.22141790390014648,0,209
Hill Climbing,22,12,0.32392120361328125,4,5000
Simulated Annealing,22,12,0.32828354835510254,3,5000
Genetic Algorithm,22,12,5.333442687988281,1,5000
Hill Climbing,23,12,0.3227872848510742,4,5000
Simulated Annealing,23,12,0.33150744438171387,4,5000
Genetic Algorithm,23,12,0.6309084892272949,0,594
Hill Climbing,24,12,0.3174877166748047,4,5000
Simulated Annealing,24,12,0.32233190536499023,4,5000
Genetic Algorithm,24,12,1.906419038772583,0,1778
Hill Climbing,25,12,0.325636625289917,4,5000
Simulated Annealing,25,12,0.32739901542663574,4,5000
Genetic Algorithm,25,12,5.469140529632568,1,5000
Hill Climbing,26,12,0.3247694969177246,4,5000
Simulated Annealing,26,12,0.3269953727722168,4,5000
Genetic Algorithm,26,12,5.3311767578125,1,5000
Hill Climbing,27,12,0.3251016139984131,3,5000
Simulated Annealing,27,12,0.3236539363861084,4,5000
Genetic Algorithm,27,12,0.596411943435669,0,552
Hill Climbing,28,12,0.316025972366333,4,5000
Simulated Annealing,28,12,0.3282310962677002,3,5000
Genetic Algorithm,28,12,1.6842572689056396,0,1569
Hill Climbing,29,12,0.32601261138916016,4,5000
Simulated Annealing,29,12,0.3294048309326172,4,5000
Genetic Algorithm,29,12,0.7768983840942383,0,723
Hill Climbing,30,12,0.3364415168762207,3,5000
Simulated Annealing,30,12,0.3260006904602051,4,5000
Genetic Algorithm,30,12,5.360356092453003,1,5000
Hill Climbing,1,15,0.463454008102417,6,5000
Simulated Annealing,1,15,0.4590005874633789,5,5000
Genetic Algorithm,1,15,7.019810676574707,1,5000
Hill Climbing,2,15,0.45337414741516113,6,5000
Simulated Annealing,2,15,0.4625272750854492,5,5000
Genetic Algorithm,2,15,1.187626600265503,0,849
Hill Climbing,3,15,0.45542454719543457,6,5000
Simulated Annealing,3,15,0.46016669273376465,5,5000
Genetic Algorithm,3,15,5.079350471496582,0,3604
Hill Climbing,4,15,0.4545328617095947,7,5000
Simulated Annealing,4,15,0.4608500003814697,6,5000
Genetic Algorithm,4,15,0.08663725852966309,0,59
Hill Climbing,5,15,0.4629323482513428,6,5000
Simulated Annealing,5,15,0.46860480308532715,6,5000
Genetic Algorithm,5,15,4.9107747077941895,0,3448
Hill Climbing,6,15,0.4540238380432129,6,5000
Simulated Annealing,6,15,0.4580049514770508,6,5000
Genetic Algorithm,6,15,7.014739274978638,1,5000
Hill Climbing,7,15,0.453031063079834,6,5000
Simulated Annealing,7,15,0.45376062393188477,7,5000
Genetic Algorithm,7,15,2.959846019744873,0,2099
Hill Climbing,8,15,0.4614584445953369,4,5000
Simulated Annealing,8,15,0.4935760498046875,6,5000
Genetic Algorithm,8,15,6.293726921081543,0,4482
Hill Climbing,9,15,0.4526069164276123,6,5000
Simulated Annealing,9,15,0.4566926956176758,6,5000
Genetic Algorithm,9,15,7.021870374679565,1,5000
Hill Climbing,10,15,0.4593234062194824,6,5000
Simulated Annealing,10,15,0.45717358589172363,7,5000
Genetic Algorithm,10,15,7.0680623054504395,1,5000
Hill Climbing,11,15,0.4552285671234131,5,5000
Simulated Annealing,11,15,0.46202731132507324,6,5000
Genetic Algorithm,11,15,7.0040764808654785,1,5000
Hill Climbing,12,15,0.4547858238220215,6,5000
Simulated Annealing,12,15,0.4541356563568115,5,5000
Genetic Algorithm,12,15,7.005236625671387,1,5000
Hill Climbing,13,15,0.45493531227111816,6,5000
Simulated Annealing,13,15,0.46003007888793945,5,5000
Genetic Algorithm,13,15,2.4935741424560547,0,1777
Hill Climbing,14,15,0.4531104564666748,6,5000
Simulated Annealing,14,15,0.4576292037963867,6,5000
Genetic Algorithm,14,15,0.1317131519317627,0,95
Hill Climbing,15,15,0.45133543014526367,5,5000
Simulated Annealing,15,15,0.4555950164794922,6,5000
Genetic Algorithm,15,15,2.1006674766540527,0,1509
Hill Climbing,16,15,0.4525294303894043,7,5000
Simulated Annealing,16,15,0.45896244049072266,6,5000
Genetic Algorithm,16,15,0.36014318466186523,0,252
Hill Climbing,17,15,0.45374226570129395,6,5000
Simulated Annealing,17,15,0.45768070220947266,4,5000
Genetic Algorithm,17,15,6.741290092468262,0,4823
Hill Climbing,18,15,0.45358777046203613,6,5000
Simulated Annealing,18,15,0.46250319480895996,7,5000
Genetic Algorithm,18,15,6.9768877029418945,1,5000
Hill Climbing,19,15,0.4489710330963135,6,5000
Simulated Annealing,19,15,0.4562051296234131,5,5000
Genetic Algorithm,19,15,6.996164560317993,1,5000
Hill Climbing,20,15,0.4504051208496094,6,5000
Simulated Annealing,20,15,0.4573049545288086,6,5000
Genetic Algorithm,20,15,1.6461048126220703,0,1172
Hill Climbing,21,15,0.4546530246734619,6,5000
Simulated Annealing,21,15,0.4575836658477783,6,5000
Genetic Algorithm,21,15,6.991504192352295,1,5000
Hill Climbing,22,15,0.45845508575439453,5,5000
Simulated Annealing,22,15,0.45957040786743164,4,5000
Genetic Algorithm,22,15,0.7256247997283936,0,519
Hill Climbing,23,15,0.4574592113494873,6,5000
Simulated Annealing,23,15,0.4622368812561035,6,5000
Genetic Algorithm,23,15,6.996806859970093,1,5000
Hill Climbing,24,15,0.4524075984954834,6,5000
Simulated Annealing,24,15,0.4623396396636963,6,5000
Genetic Algorithm,24,15,6.998000860214233,1,5000
Hill Climbing,25,15,0.45322656631469727,7,5000
Simulated Annealing,25,15,0.4593698978424072,5,5000
Genetic Algorithm,25,15,7.018196105957031,1,5000
Hill Climbing,26,15,0.44924426078796387,7,5000
Simulated Annealing,26,15,0.46180057525634766,6,5000
Genetic Algorithm,26,15,4.1902756690979,0,2988
Hill Climbing,27,15,0.4549856185913086,6,5000
Simulated Annealing,27,15,0.4614408016204834,6,5000
Genetic Algorithm,27,15,7.040504455566406,1,5000
Hill Climbing,28,15,0.454700231552124,6,5000
Simulated Annealing,28,15,0.45319509506225586,6,5000
Genetic Algorithm,28,15,6.986787796020508,1,5000
Hill Climbing,29,15,0.4497380256652832,6,5000
Simulated Annealing,29,15,0.45290637016296387,6,5000
Genetic Algorithm,29,15,3.510164737701416,0,2511
Hill Climbing,30,15,0.45127391815185547,6,5000
Simulated Annealing,30,15,0.4597048759460449,4,5000
Genetic Algorithm,30,15,6.94990348815918,1,5000
